Legacy_Ref_ID,Legacy_Qty,Legacy_Weight,Legacy_Cost,Legacy_Safety_Stock,Legacy_Volume,Legacy_Description,Legacy_Batch,Legacy_Status,Legacy_Region,Legacy_Type,Legacy_Priority,Legacy_Warehouse_Code,Legacy_Material_Group,Legacy_Lifecycle
REF-93022,24,22,383,20,80,Item_Desc_816,B893,Hold,South,Finished,Medium,WH01,Mech,Mature
REF-27317,94,10,468,19,38,Item_Desc_236,B482,Active,South,Service,Low,WH03,Chem,EndOL
REF-40582,77,26,213,19,16,Item_Desc_267,B316,Active,South,Finished,High,WH03,Elec,EndOL
REF-88288,43,26,234,1,5,Item_Desc_406,B262,Active,West,Service,Medium,WH99,Elec,New
REF-81455,63,21,403,10,20,Item_Desc_626,B306,Hold,North,Raw,High,WH99,Mech,New
REF-53712,52,24,280,2,6,Item_Desc_371,B239,Closed,South,Finished,Low,WH03,Chem,New
REF-55416,25,13,123,11,22,Item_Desc_717,B641,Closed,West,Finished,Medium,WH03,Mech,EndOL
REF-58044,10,22,459,14,34,Item_Desc_607,B465,Closed,South,Finished,High,WH99,Elec,Mature
REF-99333,92,34,290,8,6,Item_Desc_32,B877,Active,North,Service,Low,WH99,Chem,Mature
REF-41688,74,35,343,16,63,Item_Desc_833,B904,Closed,South,Finished,Low,WH02,Elec,Mature
REF-55500,76,47,256,15,47,Item_Desc_563,B606,Hold,North,Raw,High,WH01,Chem,Mature
REF-23898,62,38,253,1,91,Item_Desc_148,B106,Active,South,Finished,Medium,WH03,Mech,Mature
REF-87821,21,23,447,5,92,Item_Desc_786,B408,Active,West,Raw,High,WH01,Elec,Mature
REF-30412,9,43,251,18,24,Item_Desc_294,B286,Active,South,Raw,Medium,WH03,Mech,New
REF-79909,89,28,113,7,89,Item_Desc_454,B852,Hold,West,Finished,High,WH01,Elec,New
REF-91087,58,33,260,1,5,Item_Desc_644,B662,Closed,South,Service,High,WH99,Chem,New
REF-14230,60,28,322,4,88,Item_Desc_454,B790,Hold,South,Raw,Medium,WH02,Chem,New
REF-82272,92,49,151,19,20,Item_Desc_491,B920,Active,West,Raw,Medium,WH99,Chem,Mature
REF-49734,13,14,488,16,34,Item_Desc_418,B155,Hold,West,Service,Medium,WH99,Mech,Mature
REF-46462,45,31,166,5,67,Item_Desc_774,B516,Hold,North,Raw,High,WH99,Mech,New
REF-16100,43,23,291,17,32,Item_Desc_670,B885,Closed,South,Raw,Low,WH99,Elec,Mature
REF-18101,83,10,462,13,90,Item_Desc_517,B581,Active,South,Finished,Low,WH02,Mech,EndOL
REF-76438,29,14,180,12,6,Item_Desc_990,B700,Active,South,Raw,High,WH03,Elec,New
REF-64557,58,18,488,4,10,Item_Desc_247,B708,Hold,South,Finished,Medium,WH03,Elec,Mature
REF-74080,67,21,99,11,13,Item_Desc_332,B291,Active,West,Finished,High,WH02,Elec,EndOL
REF-18948,16,17,380,0,57,Item_Desc_619,B429,Active,West,Finished,Low,WH01,Elec,New
REF-83947,5,40,255,19,49,Item_Desc_79,B924,Active,West,Service,High,WH01,Mech,New
REF-95366,46,21,309,17,27,Item_Desc_559,B934,Closed,South,Service,High,WH01,Mech,New
REF-45510,5,13,293,2,67,Item_Desc_606,B931,Hold,South,Service,High,WH02,Elec,Mature
REF-14144,90,38,276,17,37,Item_Desc_393,B131,Active,West,Finished,Low,WH01,Elec,Mature
REF-59608,32,47,500,2,66,Item_Desc_694,B527,Hold,South,Finished,High,WH01,Mech,New
REF-59793,11,25,412,2,83,Item_Desc_352,B249,Closed,North,Raw,High,WH03,Elec,EndOL
REF-67303,36,18,246,5,48,Item_Desc_622,B646,Hold,West,Raw,Low,WH01,Elec,Mature
REF-19919,80,10,163,2,35,Item_Desc_705,B740,Closed,North,Raw,High,WH03,Elec,New
REF-23145,72,45,84,11,54,Item_Desc_788,B763,Closed,West,Raw,Medium,WH02,Mech,EndOL
REF-77698,68,26,302,16,68,Item_Desc_934,B959,Active,North,Finished,Medium,WH03,Chem,Mature
REF-99086,12,15,392,18,9,Item_Desc_562,B307,Closed,North,Raw,Low,WH03,Chem,EndOL
REF-74217,35,14,432,6,75,Item_Desc_697,B536,Hold,West,Finished,Low,WH99,Mech,EndOL
REF-28428,70,47,366,18,33,Item_Desc_288,B672,Closed,West,Raw,Low,WH01,Chem,Mature
REF-85986,15,32,169,7,80,Item_Desc_25,B704,Active,West,Service,Low,WH03,Chem,EndOL
REF-79273,84,35,497,18,44,Item_Desc_652,B697,Closed,West,Finished,Medium,WH03,Elec,Mature
REF-11366,18,36,470,3,43,Item_Desc_72,B575,Active,West,Finished,Low,WH02,Mech,New
REF-85584,71,22,434,12,29,Item_Desc_999,B803,Active,North,Service,Low,WH02,Mech,EndOL
REF-16263,31,40,236,13,39,Item_Desc_442,B203,Active,North,Raw,Low,WH02,Mech,New
REF-26134,52,37,219,7,7,Item_Desc_976,B905,Hold,West,Finished,Medium,WH02,Chem,New
REF-49832,45,49,460,12,9,Item_Desc_718,B465,Active,West,Finished,Low,WH03,Chem,New
REF-29734,3,11,161,7,64,Item_Desc_287,B285,Active,South,Service,Low,WH02,Elec,Mature
REF-14730,55,14,55,15,52,Item_Desc_168,B155,Active,West,Raw,High,WH01,Elec,EndOL
REF-22422,53,39,351,7,100,Item_Desc_759,B616,Hold,North,Service,Low,WH03,Elec,New
REF-77986,92,37,86,15,14,Item_Desc_353,B181,Closed,South,Service,High,WH01,Elec,EndOL
REF-19783,66,16,355,12,34,Item_Desc_997,B366,Closed,North,Finished,Low,WH99,Chem,New
REF-96769,25,50,240,10,13,Item_Desc_961,B245,Active,West,Finished,Low,WH03,Chem,Mature
REF-63129,8,24,486,10,55,Item_Desc_200,B754,Closed,South,Raw,High,WH03,Mech,EndOL
REF-99874,28,12,374,14,59,Item_Desc_736,B104,Active,West,Raw,Medium,WH02,Mech,New
REF-98672,8,19,290,1,27,Item_Desc_883,B898,Hold,South,Raw,Medium,WH01,Elec,EndOL
REF-72725,1,36,397,7,28,Item_Desc_682,B829,Hold,West,Finished,Medium,WH01,Elec,New
REF-82053,41,47,371,16,43,Item_Desc_389,B905,Hold,South,Service,High,WH03,Elec,EndOL
REF-87508,39,28,499,19,61,Item_Desc_540,B423,Active,West,Raw,Medium,WH99,Elec,EndOL
REF-45101,96,27,386,13,72,Item_Desc_445,B519,Hold,South,Service,Medium,WH01,Chem,Mature
REF-26436,55,49,460,10,54,Item_Desc_147,B181,Hold,West,Raw,Low,WH02,Chem,EndOL
REF-34219,88,33,394,20,23,Item_Desc_9,B987,Closed,West,Finished,High,WH01,Mech,Mature
REF-27924,98,37,286,8,79,Item_Desc_102,B310,Closed,West,Service,Medium,WH01,Mech,Mature
REF-66837,2,35,425,18,63,Item_Desc_377,B954,Closed,South,Raw,Low,WH01,Mech,Mature
REF-68399,80,13,329,4,69,Item_Desc_425,B833,Closed,North,Raw,Low,WH03,Mech,EndOL
REF-82082,83,46,207,4,60,Item_Desc_380,B667,Closed,South,Raw,Low,WH01,Elec,Mature
REF-81731,22,47,264,8,88,Item_Desc_515,B357,Active,West,Service,Low,WH01,Chem,Mature
REF-73333,1,10,154,11,72,Item_Desc_437,B503,Hold,South,Finished,Medium,WH03,Mech,New
REF-60773,80,19,414,18,54,Item_Desc_555,B348,Active,South,Finished,Medium,WH01,Chem,Mature
REF-81943,54,35,206,11,13,Item_Desc_757,B787,Active,North,Raw,Low,WH01,Mech,New
REF-26808,77,46,297,9,15,Item_Desc_446,B735,Active,West,Finished,Low,WH03,Mech,New
REF-20636,25,25,131,4,96,Item_Desc_430,B179,Closed,West,Raw,Low,WH99,Elec,New
REF-89959,55,30,173,13,15,Item_Desc_320,B733,Closed,North,Finished,Low,WH01,Mech,New
REF-70356,39,20,169,9,23,Item_Desc_724,B268,Closed,North,Service,Medium,WH01,Mech,New
REF-29909,19,15,362,6,26,Item_Desc_27,B572,Closed,South,Service,High,WH99,Chem,New
REF-70119,5,44,55,0,84,Item_Desc_949,B833,Active,North,Service,Low,WH03,Mech,Mature
REF-30409,1,28,353,19,47,Item_Desc_495,B928,Hold,West,Raw,Medium,WH03,Mech,New
REF-50196,86,49,54,4,78,Item_Desc_380,B949,Active,South,Finished,High,WH03,Mech,New
REF-27639,65,37,315,17,71,Item_Desc_478,B839,Active,West,Finished,High,WH99,Mech,Mature
REF-86781,29,21,226,14,91,Item_Desc_140,B182,Hold,North,Service,High,WH03,Mech,Mature
REF-70498,41,47,51,2,49,Item_Desc_224,B629,Active,South,Raw,High,WH99,Elec,Mature
REF-99984,1,16,218,0,43,Item_Desc_174,B992,Closed,West,Finished,Low,WH01,Chem,New
REF-83617,10,22,423,4,86,Item_Desc_672,B403,Hold,West,Finished,Medium,WH01,Chem,Mature
REF-18824,53,13,109,10,60,Item_Desc_871,B470,Active,South,Finished,Low,WH03,Elec,EndOL
REF-47410,38,12,72,3,29,Item_Desc_998,B104,Active,South,Raw,Medium,WH99,Chem,EndOL
REF-90391,33,32,173,7,6,Item_Desc_510,B857,Hold,West,Finished,High,WH02,Elec,Mature
REF-20233,31,37,249,13,21,Item_Desc_728,B499,Active,West,Service,Low,WH01,Chem,New
REF-36323,38,29,321,6,93,Item_Desc_75,B339,Closed,South,Finished,Medium,WH01,Elec,EndOL
REF-90305,9,41,330,13,56,Item_Desc_546,B213,Closed,West,Finished,Medium,WH02,Mech,New
REF-43245,32,32,231,11,75,Item_Desc_336,B219,Closed,North,Finished,Medium,WH99,Mech,Mature
REF-25797,42,18,318,15,56,Item_Desc_433,B264,Closed,West,Raw,Medium,WH02,Chem,EndOL
REF-77436,1,12,84,17,74,Item_Desc_221,B188,Hold,West,Finished,High,WH02,Chem,Mature
REF-91440,82,26,151,16,29,Item_Desc_535,B412,Hold,South,Raw,Medium,WH99,Chem,EndOL
REF-94971,60,50,53,20,62,Item_Desc_970,B306,Closed,North,Raw,High,WH99,Mech,Mature
REF-10936,96,32,93,14,99,Item_Desc_623,B237,Hold,South,Raw,Medium,WH03,Elec,EndOL
REF-13664,6,25,86,9,9,Item_Desc_483,B535,Active,South,Service,Medium,WH02,Mech,Mature
REF-79731,56,33,104,14,23,Item_Desc_571,B227,Hold,South,Raw,Low,WH02,Elec,New
REF-49345,97,24,101,7,85,Item_Desc_123,B247,Hold,North,Finished,High,WH99,Chem,Mature
REF-97264,52,24,379,9,12,Item_Desc_106,B449,Active,West,Finished,High,WH99,Elec,New
REF-59185,63,17,58,10,83,Item_Desc_791,B318,Hold,West,Finished,Medium,WH99,Chem,New
REF-33203,93,43,428,3,74,Item_Desc_400,B355,Closed,West,Service,Low,WH01,Elec,EndOL
REF-30119,21,37,311,1,94,Item_Desc_910,B286,Active,West,Raw,Low,WH02,Chem,Mature
REF-81518,21,18,79,18,54,Item_Desc_28,B989,Active,West,Service,High,WH02,Chem,New
REF-87086,28,29,119,12,55,Item_Desc_79,B674,Hold,West,Service,Medium,WH03,Mech,Mature
REF-67368,85,23,134,9,22,Item_Desc_244,B367,Closed,South,Service,High,WH02,Elec,Mature
REF-53140,78,29,163,0,26,Item_Desc_192,B856,Closed,North,Finished,Medium,WH02,Elec,Mature
REF-93744,42,29,113,17,83,Item_Desc_302,B164,Closed,West,Raw,Low,WH99,Mech,New
REF-66445,47,15,142,3,92,Item_Desc_444,B411,Active,North,Finished,Medium,WH03,Mech,Mature
REF-90874,82,47,289,6,45,Item_Desc_530,B607,Hold,West,Raw,Medium,WH01,Chem,EndOL
REF-51641,6,37,472,4,75,Item_Desc_703,B634,Hold,West,Service,Low,WH02,Chem,New
REF-58993,54,25,301,0,94,Item_Desc_738,B796,Closed,West,Raw,Low,WH01,Mech,Mature
REF-67774,95,18,319,4,53,Item_Desc_832,B877,Hold,North,Service,High,WH03,Chem,EndOL
REF-41971,44,21,52,13,11,Item_Desc_566,B576,Closed,South,Finished,Medium,WH01,Mech,Mature
REF-75768,64,10,281,20,68,Item_Desc_499,B692,Hold,North,Service,Medium,WH03,Mech,Mature
REF-60758,11,13,427,3,43,Item_Desc_431,B498,Closed,North,Service,High,WH02,Chem,EndOL
REF-97871,59,20,184,9,56,Item_Desc_275,B407,Closed,North,Service,High,WH99,Chem,EndOL
REF-39520,86,29,447,9,28,Item_Desc_812,B283,Closed,West,Finished,High,WH03,Elec,New
REF-27898,85,23,179,10,41,Item_Desc_985,B492,Hold,West,Service,Low,WH99,Mech,New
REF-97086,77,45,272,15,99,Item_Desc_828,B157,Hold,West,Raw,Low,WH03,Mech,Mature
REF-83764,37,10,335,20,42,Item_Desc_164,B455,Hold,North,Finished,High,WH03,Chem,EndOL
REF-53949,12,23,395,8,72,Item_Desc_799,B892,Hold,West,Finished,High,WH03,Mech,New
REF-86650,53,44,365,15,100,Item_Desc_991,B415,Closed,West,Finished,Low,WH01,Mech,Mature
REF-29061,18,22,479,6,42,Item_Desc_439,B372,Hold,West,Service,Medium,WH01,Elec,EndOL
REF-28153,47,19,386,16,16,Item_Desc_971,B237,Closed,South,Finished,Low,WH01,Mech,Mature
REF-58016,75,39,389,1,46,Item_Desc_465,B784,Hold,South,Raw,Medium,WH99,Mech,EndOL
REF-49066,44,21,246,12,53,Item_Desc_399,B610,Hold,South,Finished,Medium,WH02,Mech,Mature
REF-34169,68,47,248,14,97,Item_Desc_787,B517,Closed,South,Service,Medium,WH99,Chem,EndOL
REF-52444,50,15,314,7,30,Item_Desc_862,B123,Closed,West,Raw,High,WH02,Mech,Mature
REF-49034,15,40,275,9,41,Item_Desc_187,B836,Active,North,Raw,Low,WH03,Mech,Mature
REF-82946,11,35,491,5,74,Item_Desc_709,B415,Closed,North,Finished,Low,WH03,Elec,New
REF-68630,68,39,66,0,78,Item_Desc_792,B908,Hold,North,Finished,Low,WH99,Elec,EndOL
REF-42338,74,20,351,4,90,Item_Desc_595,B664,Hold,South,Finished,High,WH01,Chem,EndOL
REF-66829,79,46,403,18,40,Item_Desc_257,B576,Closed,West,Raw,High,WH99,Mech,New
REF-32922,50,11,78,10,12,Item_Desc_317,B775,Active,South,Service,Medium,WH02,Elec,Mature
REF-30657,74,24,377,3,30,Item_Desc_622,B622,Closed,North,Service,High,WH03,Elec,New
REF-87446,58,38,245,18,8,Item_Desc_166,B465,Closed,North,Raw,Medium,WH02,Mech,EndOL
REF-14869,63,13,202,9,11,Item_Desc_333,B709,Hold,West,Raw,Low,WH01,Elec,Mature
REF-91175,4,28,263,2,68,Item_Desc_380,B455,Closed,North,Service,Medium,WH99,Chem,New
REF-87569,84,40,87,0,28,Item_Desc_986,B448,Active,North,Raw,Medium,WH01,Elec,Mature
REF-76777,79,10,485,12,72,Item_Desc_827,B147,Active,West,Finished,Medium,WH02,Elec,New
REF-40455,64,46,256,19,79,Item_Desc_566,B482,Closed,West,Raw,Medium,WH99,Chem,Mature
REF-49922,48,49,272,18,11,Item_Desc_183,B497,Hold,West,Finished,High,WH01,Chem,Mature
REF-69136,54,42,324,0,38,Item_Desc_983,B520,Active,North,Service,Low,WH01,Elec,Mature
REF-94825,34,13,480,14,54,Item_Desc_684,B438,Active,North,Raw,Medium,WH03,Elec,Mature
REF-46444,54,36,77,6,79,Item_Desc_510,B275,Active,West,Service,Medium,WH03,Elec,EndOL
REF-42949,99,49,483,6,78,Item_Desc_609,B763,Closed,North,Finished,Medium,WH99,Chem,Mature
REF-54892,2,49,392,0,40,Item_Desc_309,B723,Active,West,Service,High,WH03,Elec,Mature
REF-86458,74,27,168,6,65,Item_Desc_565,B314,Hold,South,Finished,Low,WH01,Elec,Mature
REF-51095,27,10,255,4,10,Item_Desc_6,B110,Hold,North,Raw,Low,WH02,Chem,New
REF-94134,79,29,360,5,31,Item_Desc_647,B444,Closed,North,Raw,Low,WH03,Mech,New
REF-53917,49,25,68,12,75,Item_Desc_645,B998,Hold,South,Finished,High,WH99,Elec,Mature
REF-98572,77,34,495,10,64,Item_Desc_250,B659,Active,North,Raw,Medium,WH01,Elec,New
REF-33017,36,40,375,19,34,Item_Desc_720,B445,Active,West,Finished,Low,WH01,Elec,EndOL
REF-86819,57,15,135,20,83,Item_Desc_383,B519,Closed,South,Finished,Medium,WH01,Mech,New
REF-62709,42,11,410,6,98,Item_Desc_211,B403,Closed,South,Finished,Low,WH02,Chem,EndOL
REF-54307,93,35,199,20,57,Item_Desc_734,B420,Closed,North,Raw,High,WH02,Chem,EndOL
REF-15983,83,43,98,1,74,Item_Desc_710,B893,Hold,South,Finished,High,WH01,Elec,New
REF-12772,83,49,420,20,67,Item_Desc_80,B633,Active,North,Service,High,WH02,Mech,New
REF-60305,39,36,342,7,60,Item_Desc_396,B448,Closed,North,Service,Medium,WH01,Mech,Mature
REF-41660,29,36,372,18,28,Item_Desc_201,B781,Hold,West,Finished,Medium,WH01,Elec,New
REF-44144,23,44,171,0,41,Item_Desc_828,B955,Closed,South,Finished,High,WH99,Mech,New
REF-43113,98,44,157,16,54,Item_Desc_847,B426,Closed,South,Service,High,WH99,Mech,Mature
REF-11512,67,36,337,1,37,Item_Desc_72,B199,Closed,West,Service,Low,WH03,Chem,New
REF-23797,95,27,180,10,79,Item_Desc_469,B123,Hold,North,Raw,Medium,WH99,Chem,EndOL
REF-49320,58,45,157,8,11,Item_Desc_940,B115,Closed,West,Finished,Low,WH03,Chem,Mature
REF-37823,16,34,437,7,97,Item_Desc_299,B123,Active,South,Service,Low,WH01,Elec,EndOL
REF-20235,26,16,98,5,76,Item_Desc_866,B408,Hold,North,Service,Low,WH03,Mech,New
REF-86049,42,29,309,20,58,Item_Desc_839,B515,Hold,North,Finished,Medium,WH03,Chem,EndOL
REF-97996,18,43,486,0,10,Item_Desc_748,B559,Closed,South,Raw,Medium,WH03,Elec,New
REF-15051,82,14,293,19,81,Item_Desc_47,B599,Active,North,Finished,High,WH03,Chem,EndOL
REF-61458,93,11,132,18,81,Item_Desc_121,B150,Hold,North,Service,Low,WH03,Elec,Mature
REF-43867,53,14,338,4,26,Item_Desc_354,B145,Hold,North,Service,Low,WH03,Mech,New
REF-10049,18,42,338,2,97,Item_Desc_145,B275,Active,West,Finished,Low,WH99,Elec,Mature
REF-88961,28,32,133,17,57,Item_Desc_962,B585,Closed,South,Finished,Medium,WH99,Elec,EndOL
REF-37490,44,37,128,4,30,Item_Desc_583,B704,Closed,West,Finished,Medium,WH03,Mech,Mature
REF-71763,23,11,355,16,30,Item_Desc_733,B284,Hold,West,Raw,Low,WH99,Elec,EndOL
REF-43501,13,41,395,10,39,Item_Desc_280,B944,Hold,South,Service,Low,WH03,Elec,EndOL
REF-15744,84,28,291,8,60,Item_Desc_925,B589,Closed,North,Raw,Medium,WH99,Chem,New
REF-54122,78,50,242,10,47,Item_Desc_777,B919,Closed,South,Finished,Medium,WH02,Elec,New
REF-40179,72,13,239,0,63,Item_Desc_262,B226,Closed,West,Service,High,WH03,Chem,New
REF-78305,19,23,119,10,24,Item_Desc_257,B809,Active,West,Raw,Low,WH99,Elec,Mature
REF-86927,65,45,59,15,70,Item_Desc_897,B186,Hold,West,Service,Low,WH03,Mech,New
REF-96740,11,19,425,8,45,Item_Desc_391,B422,Closed,West,Service,Medium,WH99,Mech,Mature
REF-19467,32,14,81,4,81,Item_Desc_47,B233,Active,South,Raw,High,WH99,Chem,New
REF-44483,92,37,165,17,23,Item_Desc_603,B376,Active,North,Finished,Low,WH03,Mech,EndOL
REF-89126,20,19,292,3,81,Item_Desc_546,B347,Closed,North,Raw,Low,WH99,Chem,Mature
REF-34206,71,44,268,4,83,Item_Desc_14,B722,Hold,South,Service,Low,WH01,Elec,New
REF-15128,31,35,101,7,28,Item_Desc_30,B240,Hold,South,Finished,Low,WH99,Elec,New
REF-48174,22,48,83,6,69,Item_Desc_171,B558,Hold,North,Raw,Low,WH03,Mech,EndOL
REF-88739,23,19,79,14,94,Item_Desc_991,B575,Closed,North,Raw,Low,WH03,Chem,Mature
REF-46051,45,36,410,6,98,Item_Desc_195,B287,Closed,West,Raw,High,WH01,Mech,New
REF-46625,75,33,160,20,74,Item_Desc_688,B179,Active,West,Finished,Low,WH03,Elec,EndOL
REF-81817,14,17,270,19,57,Item_Desc_375,B800,Hold,South,Finished,Medium,WH03,Mech,Mature
REF-70835,80,43,69,20,86,Item_Desc_416,B377,Active,South,Finished,High,WH01,Elec,EndOL
REF-39002,88,22,234,1,6,Item_Desc_412,B805,Active,North,Raw,High,WH01,Chem,EndOL
REF-35414,20,27,280,3,71,Item_Desc_999,B240,Hold,North,Finished,Medium,WH03,Elec,New
REF-52297,69,43,475,18,47,Item_Desc_166,B696,Active,South,Service,Low,WH03,Chem,Mature
REF-34258,89,36,266,13,45,Item_Desc_844,B769,Active,West,Finished,High,WH02,Elec,Mature
REF-40544,23,11,230,2,14,Item_Desc_568,B136,Active,West,Finished,High,WH03,Mech,New
REF-74223,26,27,145,13,29,Item_Desc_675,B885,Closed,West,Raw,Medium,WH02,Mech,EndOL
REF-46260,3,50,435,0,54,Item_Desc_52,B191,Closed,West,Raw,Medium,WH02,Mech,Mature
REF-80429,12,41,375,14,17,Item_Desc_196,B449,Hold,South,Service,Low,WH01,Chem,EndOL
REF-56094,74,23,490,1,6,Item_Desc_500,B648,Active,North,Raw,High,WH02,Chem,EndOL
REF-41227,38,48,410,1,22,Item_Desc_447,B882,Hold,North,Service,Medium,WH02,Elec,New
REF-45802,36,23,86,19,28,Item_Desc_52,B997,Closed,South,Raw,Low,WH01,Mech,EndOL
REF-13572,80,15,225,0,91,Item_Desc_933,B485,Active,North,Service,High,WH01,Mech,EndOL
REF-84316,78,48,382,9,55,Item_Desc_821,B133,Active,South,Raw,High,WH01,Chem,New
REF-98817,50,19,340,4,35,Item_Desc_780,B492,Closed,West,Service,Low,WH99,Mech,EndOL
REF-98012,27,17,91,17,27,Item_Desc_519,B607,Hold,North,Service,Medium,WH01,Elec,New
REF-89381,88,37,309,13,45,Item_Desc_442,B493,Closed,North,Raw,High,WH01,Mech,EndOL
REF-74987,99,45,116,4,72,Item_Desc_666,B203,Closed,South,Finished,High,WH99,Elec,Mature
REF-50151,80,10,485,10,16,Item_Desc_914,B246,Hold,West,Raw,Low,WH99,Mech,New
REF-29801,74,45,287,5,73,Item_Desc_822,B864,Hold,West,Service,Medium,WH01,Elec,New
REF-45231,26,14,480,20,67,Item_Desc_451,B551,Hold,North,Service,High,WH01,Chem,EndOL
REF-36666,71,15,243,12,31,Item_Desc_711,B142,Active,South,Finished,High,WH02,Elec,New
REF-21980,19,45,360,8,34,Item_Desc_295,B456,Hold,South,Finished,Medium,WH03,Chem,New
REF-71339,85,22,99,9,61,Item_Desc_86,B797,Closed,West,Raw,Low,WH02,Elec,New
REF-84153,4,41,389,1,85,Item_Desc_892,B736,Hold,North,Finished,Low,WH99,Chem,Mature
REF-56473,92,28,53,14,54,Item_Desc_443,B425,Closed,West,Finished,High,WH02,Chem,New
REF-31303,49,28,216,13,43,Item_Desc_511,B966,Closed,West,Raw,High,WH03,Mech,New
REF-36141,63,39,127,7,54,Item_Desc_119,B558,Hold,South,Finished,Medium,WH99,Chem,New
REF-63732,60,19,137,17,94,Item_Desc_885,B208,Active,North,Finished,Medium,WH02,Elec,New
REF-39513,56,27,105,20,36,Item_Desc_87,B920,Hold,West,Raw,Low,WH99,Mech,New
REF-55026,68,45,203,14,64,Item_Desc_693,B436,Hold,North,Finished,Medium,WH99,Mech,Mature
REF-49717,71,32,437,7,77,Item_Desc_465,B264,Active,West,Finished,Low,WH02,Mech,Mature
REF-60944,89,22,210,17,5,Item_Desc_75,B956,Closed,North,Service,High,WH99,Chem,New
REF-87319,72,22,436,0,93,Item_Desc_397,B889,Hold,South,Raw,Medium,WH99,Elec,New
REF-73380,76,34,479,11,22,Item_Desc_759,B619,Hold,South,Raw,Low,WH99,Chem,Mature
REF-14864,32,49,401,18,64,Item_Desc_263,B473,Closed,West,Service,High,WH03,Chem,Mature
REF-19806,2,47,172,9,87,Item_Desc_683,B461,Active,South,Raw,High,WH01,Mech,New
REF-18671,79,42,357,2,99,Item_Desc_723,B453,Closed,North,Service,Medium,WH01,Elec,EndOL
REF-11928,96,42,312,0,37,Item_Desc_886,B543,Hold,North,Raw,High,WH99,Chem,New
REF-62739,92,20,244,0,100,Item_Desc_736,B512,Closed,South,Raw,Medium,WH01,Chem,EndOL
REF-25236,42,29,263,11,83,Item_Desc_630,B584,Hold,South,Finished,High,WH99,Chem,Mature
REF-17469,53,25,191,0,16,Item_Desc_759,B925,Hold,North,Finished,Medium,WH02,Mech,New
REF-72287,60,33,57,5,86,Item_Desc_663,B634,Active,North,Service,High,WH03,Elec,Mature
REF-46923,61,33,108,6,17,Item_Desc_336,B938,Closed,North,Raw,Low,WH99,Mech,Mature
REF-66521,28,38,92,7,18,Item_Desc_129,B604,Hold,North,Service,Medium,WH99,Elec,Mature
REF-27463,33,30,480,19,67,Item_Desc_122,B159,Hold,South,Service,Medium,WH02,Chem,New
REF-43504,80,42,111,9,36,Item_Desc_175,B752,Closed,North,Raw,Low,WH02,Chem,New
REF-56715,16,23,339,20,10,Item_Desc_753,B337,Active,North,Service,Low,WH99,Mech,New
REF-17797,62,36,152,6,88,Item_Desc_135,B538,Active,North,Service,Low,WH02,Chem,Mature
REF-45453,100,30,242,13,57,Item_Desc_578,B965,Active,South,Raw,High,WH01,Chem,EndOL
REF-41955,40,21,439,0,81,Item_Desc_166,B753,Closed,South,Raw,Low,WH99,Chem,New
REF-20620,99,27,377,5,71,Item_Desc_474,B706,Active,North,Service,Medium,WH99,Chem,EndOL
REF-72562,49,13,157,4,7,Item_Desc_804,B995,Active,South,Finished,High,WH99,Mech,EndOL
REF-47538,81,15,226,14,62,Item_Desc_718,B448,Hold,North,Finished,High,WH01,Mech,New
REF-52259,10,40,128,6,44,Item_Desc_740,B472,Active,South,Service,Low,WH99,Mech,New
REF-33168,33,21,111,18,90,Item_Desc_228,B526,Hold,West,Raw,Low,WH03,Elec,Mature
REF-65100,7,31,278,1,82,Item_Desc_441,B896,Closed,North,Service,Medium,WH99,Chem,Mature
REF-53798,83,15,182,6,84,Item_Desc_987,B808,Active,North,Finished,High,WH02,Elec,Mature
REF-25736,78,18,216,11,67,Item_Desc_258,B924,Closed,West,Service,Low,WH02,Mech,EndOL
REF-65542,50,31,321,4,27,Item_Desc_188,B774,Closed,West,Raw,Low,WH03,Mech,Mature
REF-82832,76,12,70,12,62,Item_Desc_325,B400,Active,West,Finished,Medium,WH01,Mech,New
REF-56937,67,32,301,5,66,Item_Desc_517,B879,Active,North,Raw,Medium,WH99,Elec,New
REF-43820,16,31,394,8,49,Item_Desc_711,B760,Closed,North,Service,Medium,WH99,Elec,New
REF-63627,44,45,436,0,34,Item_Desc_667,B818,Closed,North,Finished,High,WH99,Chem,EndOL
REF-90793,17,41,242,1,95,Item_Desc_854,B124,Active,West,Finished,Low,WH99,Mech,EndOL
REF-44421,84,41,185,10,33,Item_Desc_786,B630,Closed,North,Raw,Medium,WH99,Mech,New
REF-46379,33,27,421,0,9,Item_Desc_437,B903,Closed,South,Raw,Low,WH99,Elec,New
REF-11252,67,50,351,19,26,Item_Desc_538,B242,Closed,North,Finished,Medium,WH01,Mech,New
REF-31669,12,22,492,10,99,Item_Desc_86,B869,Closed,West,Service,Medium,WH01,Mech,Mature
REF-71531,86,33,292,14,38,Item_Desc_569,B794,Closed,West,Raw,Low,WH02,Elec,EndOL
REF-89229,50,42,127,18,34,Item_Desc_916,B578,Hold,West,Raw,Medium,WH03,Chem,EndOL
REF-21072,63,11,215,6,66,Item_Desc_5,B960,Hold,South,Raw,High,WH03,Chem,EndOL
REF-46779,12,27,54,19,52,Item_Desc_933,B294,Hold,West,Service,Medium,WH99,Mech,New
REF-43254,4,41,317,0,24,Item_Desc_308,B889,Hold,West,Raw,Medium,WH03,Elec,New
